Author,Title,URN,Date,Genre
Apollonius Rhodius,Argonautica,0001-001,3 B.C.,Epic poetry
Theognis,Epigrammata,0002-004,6 B.C.,Lyric poetry
Thucydides,History of the Peloponnesian War,0003-001,5 B.C.,History
Thucydides,Epigramma,0003-002,5 B.C.,Lyric poetry
Theocritus,Εἰδύλλια,0005-001,4-3 B.C.,Lyric poetry
Theocritus,Ἐπιγράμματα,0005-002,4-3 B.C.,Lyric poetry
Theocritus,Epigrammata,0005-005,4-3 B.C.,Lyric poetry
Euripides,Hecuba,0006-007,5 B.C.,Tragedy
Euripides,The Suppliant Maidens,0006-008,5 B.C.,Tragedy
Euripides,Heracles,0006-009,5 B.C.,Tragedy
Euripides,Ion,0006-010,5 B.C.,Tragedy
Euripides,The Trojan Women,0006-011,5 B.C.,Tragedy
Euripides,Electra,0006-012,5 B.C.,Tragedy
Euripides,Iphigenia in Tauris,0006-013,5 B.C.,Tragedy
Euripides,Helen,0006-014,5 B.C.,Tragedy
Euripides,The Phoenician Women,0006-015,5 B.C.,Tragedy
Euripides,Orestes,0006-016,5 B.C.,Tragedy
Euripides,Bacchae,0006-017,5 B.C.,Tragedy
Euripides,Iphigenia in Aulis,0006-018,5 B.C.,Tragedy
Euripides,Rhesus,0006-019,5 B.C.,Tragedy
Euripides,Epigrammata,0006-031,5 B.C.,Lyric poetry
Plutarch,Theseus,0007-001,A.D. 1-2,Biography
Plutarch,Romulus,0007-002,A.D. 1-2,Biography
Plutarch,Comparison of Theseus and Romulus,0007-003,A.D. 1-2,Biography
Plutarch,Lycurgus,0007-004,A.D. 1-2,Biography
Plutarch,Numa,0007-005,A.D. 1-2,Biography
Plutarch,Comparison of Lycurgus and Numa,0007-006,A.D. 1-2,Biography
Plutarch,Solon,0007-007,A.D. 1-2,Biography
Plutarch,Publicola,0007-008,A.D. 1-2,Biography
Plutarch,Comparison of Solon and Publicola,0007-009,A.D. 1-2,Biography
Plutarch,Themistocles,0007-010,A.D. 1-2,Biography
Plutarch,Camillus,0007-011,A.D. 1-2,Biography
Plutarch,Pericles,0007-012,A.D. 1-2,Biography
Plutarch,Fabius Maximus,0007-013,A.D. 1-2,Biography
Plutarch,Comparison of Pericles and Fabius Maximus,0007-014,A.D. 1-2,Biography
Plutarch,Alcibiades,0007-015,A.D. 1-2,Biography
Plutarch,Caius Marcius Coriolanus,0007-016,A.D. 1-2,Biography
Plutarch,Comparison of Alcibiades and Coriolanus,0007-017,A.D. 1-2,Biography
Plutarch,Timoleon,0007-018,A.D. 1-2,Biography
Plutarch,Aemilius Paulus,0007-019,A.D. 1-2,Biography
Plutarch,Comparison of Timoleon and Aemilius,0007-020,A.D. 1-2,Biography
Plutarch,Pelopidas,0007-021,A.D. 1-2,Biography
Plutarch,Marcellus,0007-022,A.D. 1-2,Biography
Plutarch,Comparison of Pelopidas and Marcellus,0007-023,A.D. 1-2,Biography
Plutarch,Aristides,0007-024,A.D. 1-2,Biography
Plutarch,Marcus Cato,0007-025,A.D. 1-2,Biography
Plutarch,Comparison of Aristides and Marcus Cato,0007-026,A.D. 1-2,Biography
Plutarch,Philopoemen,0007-027,A.D. 1-2,Biography
Plutarch,Titus Flamininus,0007-028,A.D. 1-2,Biography
Plutarch,Comparison of Philopoemen and Titus,0007-029,A.D. 1-2,Biography
Plutarch,Pyrrhus,0007-030,A.D. 1-2,Biography
Plutarch,Caius Marius,0007-031,A.D. 1-2,Biography
Plutarch,Lysander,0007-032,A.D. 1-2,Biography
Plutarch,Sulla,0007-033,A.D. 1-2,Biography
Plutarch,Comparison of Lysander and Sulla,0007-034,A.D. 1-2,Biography
Plutarch,Cimon,0007-035,A.D. 1-2,Biography
Plutarch,Lucullus,0007-036,A.D. 1-2,Biography
Plutarch,Comparison of Lucullus and Cimon,0007-037,A.D. 1-2,Biography
Plutarch,Nicias,0007-038,A.D. 1-2,Biography
Plutarch,Crassus,0007-039,A.D. 1-2,Biography
Plutarch,Comparison of Nicias and Crassus,0007-040,A.D. 1-2,Biography
Plutarch,Eumenes,0007-041,A.D. 1-2,Biography
Plutarch,Sertorius,0007-042,A.D. 1-2,Biography
Plutarch,Comparison of Sertorius and Eumenes,0007-043,A.D. 1-2,Biography
Plutarch,Agesilaus,0007-044,A.D. 1-2,Biography
Plutarch,Pompey,0007-045,A.D. 1-2,Biography
Plutarch,Comparison of Agesilaus and Pompey,0007-046,A.D. 1-2,Biography
Plutarch,Alexander,0007-047,A.D. 1-2,Biography
Plutarch,Caesar,0007-048,A.D. 1-2,Biography
Plutarch,Phocion,0007-049,A.D. 1-2,Biography
Plutarch,Cato the Younger,0007-050,A.D. 1-2,Biography
Plutarch,Comparison of Agis and Cleomenes and the Gracchi,0007-053,A.D. 1-2,Biography
Plutarch,Demosthenes,0007-054,A.D. 1-2,Biography
Plutarch,Cicero,0007-055,A.D. 1-2,Biography
Plutarch,Comparison of Demosthenes and Cicero,0007-056,A.D. 1-2,Biography
Plutarch,Demetrius,0007-057,A.D. 1-2,Biography
Plutarch,Antony,0007-058,A.D. 1-2,Biography
Plutarch,Comparison of Demetrius and Antony,0007-059,A.D. 1-2,Biography
Plutarch,Dion,0007-060,A.D. 1-2,Biography
Plutarch,Brutus,0007-061,A.D. 1-2,Biography
Plutarch,Comparison of Dion and Brutus,0007-062,A.D. 1-2,Biography
Plutarch,Aratus,0007-063,A.D. 1-2,Biography
Plutarch,Artaxerxes,0007-064,A.D. 1-2,Biography
Plutarch,Galba,0007-065,A.D. 1-2,Biography
Plutarch,Otho,0007-066,A.D. 1-2,Biography
Plutarch,De capienda ex inimicis utilitate,0007-072,A.D. 1-2,Philosophy
Plutarch,De amicorum multitudine,0007-073,A.D. 1-2,Philosophy
Plutarch,De fortuna,0007-074,A.D. 1-2,Philosophy
Plutarch,De virtute et vitio,0007-075,A.D. 1-2,Philosophy
Plutarch,Regum et imperatorum apophthegmata,0007-081,A.D. 1-2,Philosophy
Plutarch,Lacaenarum Apophthegmata,0007-082,A.D. 1-2,Philosophy
Plutarch,Mulierum virtutes,0007-083,A.D. 1-2,History
Plutarch,Parallela minora,0007-085,A.D. 1-2,History
Plutarch,De gloria Atheniensium,0007-088,A.D. 1-2,Rhetoric
Athenaeus of Naucratis,Deipnosophistae,0008-001,A.D. 2-3,Polyhistory
Sappho,Epigrammata,0009-002,7-6 B.C.,Lyric poetry
Isocrates,Against Euthynus,0010-001,5-4 B.C.,Oratory
Isocrates,Against Callimachus,0010-002,5-4 B.C.,Oratory
Isocrates,Against Lochites,0010-003,5-4 B.C.,Oratory
Isocrates,Concerning the Team of Horses,0010-004,5-4 B.C.,Oratory
Isocrates,Trapeziticus,0010-005,5-4 B.C.,Oratory
Isocrates,Aegineticus,0010-006,5-4 B.C.,Oratory
Isocrates,To Demonicus,0010-007,5-4 B.C.,Oratory
Isocrates,Against the Sophists,0010-008,5-4 B.C.,Oratory
Isocrates,Helen,0010-009,5-4 B.C.,Oratory
Isocrates,Busiris,0010-010,5-4 B.C.,Oratory
Isocrates,Panegyricus,0010-011,5-4 B.C.,Oratory
Isocrates,Plataicus,0010-012,5-4 B.C.,Oratory
Isocrates,To Nicocles,0010-013,5-4 B.C.,Oratory
Isocrates,Nicocles or the Cyprians,0010-014,5-4 B.C.,Oratory
Isocrates,Evagoras,0010-015,5-4 B.C.,Oratory
Isocrates,Archidamus,0010-016,5-4 B.C.,Oratory
Isocrates,On the Peace,0010-017,5-4 B.C.,Oratory
Isocrates,Areopagiticus,0010-018,5-4 B.C.,Oratory
Isocrates,Antidosis,0010-019,5-4 B.C.,Oratory
Isocrates,To Philip,0010-020,5-4 B.C.,Oratory
Isocrates,Panathenaicus,0010-021,5-4 B.C.,Oratory
Isocrates,To Dionysius,0010-022,5-4 B.C.,Epistolography
Isocrates,To the Children of Jason,0010-023,5-4 B.C.,Epistolography
Isocrates,To Archidamus,0010-024,5-4 B.C.,Epistolography
Isocrates,To the Rulers of the Mytilenaeans,0010-025,5-4 B.C.,Epistolography
Isocrates,To Timotheus,0010-026,5-4 B.C.,Epistolography
Isocrates,"To Philip, I",0010-027,5-4 B.C.,Epistolography
Isocrates,To Alexander,0010-028,5-4 B.C.,Epistolography
Isocrates,To Antipater,0010-029,5-4 B.C.,Epistolography
Isocrates,"To Philip, II",0010-030,5-4 B.C.,Epistolography
Sophocles,Trachiniae,0011-001,5 B.C.,Tragedy
Sophocles,Antigone,0011-002,5 B.C.,Tragedy
Sophocles,Ajax,0011-003,5 B.C.,Tragedy
Sophocles,Oedipus Tyrannus,0011-004,5 B.C.,Tragedy
Sophocles,Electra,0011-005,5 B.C.,Tragedy
Sophocles,Philoctetes,0011-006,5 B.C.,Tragedy
Sophocles,Oedipus at Colonus,0011-007,5 B.C.,Tragedy
Sophocles,Ichneutae,0011-008,5 B.C.,Tragedy
Homer,Iliad,0012-001,8 B.C.,Epic poetry
Homer,Odyssey,0012-002,8 B.C.,Epic poetry
Homer,Epigrams,0012-003,8 B.C.,Lyric poetry
Homeric Hymns,Hymn 1 to Dionysus,0013-001,7 B.C.,Lyric poetry
Homeric Hymns,Hymn 2 to Demeter,0013-002,,Lyric poetry
Homeric Hymns,Hymn 3 to Delian and Pythian Apollo,0013-003,6 B.C.,Lyric poetry
Homeric Hymns,Hymn 4 to Hermes,0013-004,6 B.C.,Lyric poetry
Homeric Hymns,Hymn 5 to Aphrodite,0013-005,7 B.C.,Lyric poetry
Homeric Hymns,Hymn 6 to Aphrodite,0013-006,7-6 B.C.,Lyric poetry
Homeric Hymns,Hymn 7 to Dionysus,0013-007,7-6 B.C.,Lyric poetry
Homeric Hymns,Hymn 9 to Artemis,0013-009,7 B.C.,Lyric poetry
Homeric Hymns,Hymn 10 to Aphrodite,0013-010,7-6 B.C.,Lyric poetry
Homeric Hymns,Hymn 11 To Athena,0013-011,7-6 B.C.,Lyric poetry
Homeric Hymns,Hymn 12 to Hera,0013-012,7-6 B.C.,Lyric poetry
Homeric Hymns,Hymn 13 to Demeter,0013-013,7-6 B.C.,Lyric poetry
Homeric Hymns,Hymn 14 to the Mother of the Gods,0013-014,7-6 B.C.,Lyric poetry
Homeric Hymns,Hymn 15 To Heracles,0013-015,6 B.C.,Lyric poetry
Homeric Hymns,Hymn 16 To Asclepius,0013-016,7-6 B.C.,Lyric poetry
Homeric Hymns,Hymn 17 To the Dioscuri,0013-017,7-6 B.C.,Lyric poetry
Homeric Hymns,Hymn 18 to Hermes,0013-018,6 B.C.,Lyric poetry
Homeric Hymns,Hymn 19 to Pan,0013-019,5 B.C.,Lyric poetry
Homeric Hymns,Hymn 20 To Hephaestus,0013-020,5 B.C.,Lyric poetry
Homeric Hymns,Hymn 21 To Apollo,0013-021,7-6 B.C.,Lyric poetry
Homeric Hymns,Hymn 22 To Poseidon,0013-022,7-6 B.C.,Lyric poetry
Homeric Hymns,Hymn 23 to Zeus,0013-023,7-6 B.C.,Lyric poetry
Homeric Hymns,Hymn 24 To Hestia,0013-024,7-6 B.C.,Lyric poetry
Homeric Hymns,Hymn 25 To the Muses and Apollo,0013-025,7-6 B.C.,Lyric poetry
Homeric Hymns,Hymn 26 To Dionysus,0013-026,7-6 B.C.,Lyric poetry
