parts and infs	6166738	προσευξόμενός	προσεύχομαι	to offer prayers	-sfpm	327
parts and infs	6166746	βουλόμενος	βούλομαι	pharr24	-sppe	327
parts and infs	6166747	θεάσασθαι	θεάομαι	to look on	--anm	327
parts and infs	6166754	ἄγοντες	ἄγω	pharr3	-pppa	327
parts and infs	6166766	εἶναι	εἰμί	pharr17	--pna	327
parts and infs	6166772	πρέπειν	πρέπω	to be clearly seen	--pna	327
parts and infs	6166778	προσευξάμενοι	προσεύχομαι	to offer prayers	-papm	327
parts and infs	6166781	θεωρήσαντες	θεωρέω	to look at	-papa	327
parts and infs	6166787	κατιδὼν	κατοράω	nodef	-sapa	327
parts and infs	6166792	ὡρμημένους	ὁρμάω	to set in motion	-prpe	327
parts and infs	6166797	δραμόντα	τρέχω	to run	-sapa	327
parts and infs	6166800	περιμεῖναί	περιμένω	to wait for	--ana	327
parts and infs	6166802	κελεῦσαι	κελεύω	pharr13	--ana	327
parts and infs	6166809	λαβόμενος	λαμβάνω	pharr21	-sapm	327
parts and infs	6166819	περιμεῖναι	περιμένω	to wait for	--ana	327
parts and infs	6166887	ὡρμῆσθαι	ὁρμάω	to set in motion	--rne	327
parts and infs	6166889	ἀπιόντες	ἀπέρχομαι	to go away	-pppa	327
parts and infs	6166942	ἀφεῖναι	ἀφίημι	to send forth	--ana	327
parts and infs	6166953	πεῖσαι	πείθω	pharr9	--ana	327
parts and infs	6166955	ἀκούοντας	ἀκούω	to hear	-pppa	327
parts and infs	6166966	ἀκουσομένων	ἀκούω	to hear	-pfpm	327
parts and infs	6167006	ἔχοντες	ἔχω	pharr10	-pppa	328
parts and infs	6167009	ἁμιλλώμενοι	ἁμιλλάομαι	to compete	-pppe	328
parts and infs	6167031	θεάσασθαι	θεάομαι	to look on	--anm	328
parts and infs	6167069	εἶναι	εἰμί	pharr17	--pna	328
parts and infs	6167081	ποιεῖν	ποιέω	pharr23	--pna	328
parts and infs	6167134	εἶναι	εἰμί	pharr17	--pna	328
parts and infs	6167145	ἐστεφανωμένος	στεφανόω	to wreathe	-srpe	328
parts and infs	6167153	τεθυκὼς	θύω	to sacrifice	-srpa	328
parts and infs	6167175	ἰδὼν	ὁράω	to see	-sapa	328
parts and infs	6167190	καταβαίνων	καταβαίνω	to step down	-sppa	328
parts and infs	6167208	πορεύεσθαι	πορεύω	pharr24	--pne	328
parts and infs	6167218	ἰέναι	ἔρχομαι	pharr24	--pna	328
parts and infs	6167233	ἰέναι	ἔρχομαι	pharr24	--pna	328
parts and infs	6167297	διαλεγόμενος	διαλέγω	to pick out one from another	-sppe	328
parts and infs	6167305	χρῆναι	χρή	it is fated	--pna	328
parts and infs	6167308	πυνθάνεσθαι	πυνθάνομαι	to learn by hearsay	--pne	328
parts and infs	6167313	προεληλυθότων	προέρχομαι	to go forward	-prpa	328
parts and infs	6167319	πορεύεσθαι	πορεύω	pharr24	--pne	328
parts and infs	6167358	εἶναι	εἰμί	pharr17	--pna	328
parts and infs	6167400	ἔχοντες	ἔχω	pharr10	-pppa	329
parts and infs	6167402	διασῴζοντες	διασῴζω	to preserve through	-pppa	329
parts and infs	6167412	συνιόντες	συνέρχομαι	come together	-pppa	329
parts and infs	6167419	ποθοῦντες	ποθέω	to long for	-pppa	329
parts and infs	6167421	ἀναμιμνῃσκόμενοι	ἀναμιμνῄσκω	nodef	-pppe	329
parts and infs	6167445	ἀπεστερημένοι	ἀποστερέω	to rob	-prpe	329
parts and infs	6167450	ζῶντες	ζάω	to live	-pppa	329
parts and infs	6167455	ζῶντες	ζάω	to live	-pppa	329
parts and infs	6167491	αἰτιᾶσθαι	αἰτιάομαι	to charge	--pne	329
parts and infs	6167538	ἐρωτωμένῳ	ἐρωτάω	to ask	-sppe	329
parts and infs	6167559	συγγίγνεσθαι	συγγίγνομαι	to be with	--pne	329
parts and infs	6167577	λυττῶντά	λυσσάω	to be raging	-sppa	329
parts and infs	6167582	ἀποδράς	ἀποδιδράσκω	to run away	-sapa	329
parts and infs	6167591	εἰπεῖν	λέγω	to pick; to say	--ana	329
parts and infs	6167616	κατατείνουσαι	κατατείνω	to stretch	-pppa	329
parts and infs	6167631	μαινομένων	μαίνομαι	to rage	-pppe	329
parts and infs	6167632	ἀπηλλάχθαι	ἀπαλλάσσω	to set free	--rne	329
parts and infs	6167696	ἀγασθεὶς	ἄγαμαι	to wonder	-sapp	329
parts and infs	6167698	εἰπόντος	λέγω	to pick; to say	-sapa	329
parts and infs	6167701	βουλόμενος	βούλομαι	pharr24	-sppe	329
parts and infs	6167703	λέγειν	λέγω	to pick; to say	--pna	329
parts and infs	6167722	ἀποδέχεσθαι	ἀποδέχομαι	to accept from	--pne	329
parts and infs	6167724	ἡγεῖσθαί	ἡγέομαι	pharr25	--pne	329
parts and infs	6167729	φέρειν	φέρω	pharr30	--pna	329
parts and infs	6167739	κεκτῆσθαι	κτάομαι	to procure for oneself	--rne	329
parts and infs	6167747	εἶναι	εἰμί	pharr17	--pna	329
parts and infs	6167780	λοιδορουμένῳ	λοιδορέω	to abuse	-sppe	330
parts and infs	6167782	λέγοντι	λέγω	to pick; to say	-sppa	330
parts and infs	6167799	ὢν	εἰμί	pharr17	-sppa	330
parts and infs	6167840	πλουτήσας	πλουτέω	to be rich	-sapa	330
parts and infs	6167899	παραλαβὼν	παραλαμβάνω	to receive from	-sapa	330
parts and infs	6167914	οὔσης	εἰμί	pharr17	-sppa	330
parts and infs	6167947	ἀγαπᾶν	ἀγαπάω	to treat with affection	--pna	330
parts and infs	6167965	κτησάμενοι	κτάομαι	to procure for oneself	-papm	330
parts and infs	6167992	χρηματισάμενοι	χρηματίζω	to negotiate	-papm	330
parts and infs	6168012	συγγενέσθαι	συγγίγνομαι	to be with	--anm	330
parts and infs	6168016	ἐθέλοντες	ἐθέλω	pharr3	-pppa	330
parts and infs	6168017	ἐπαινεῖν	ἐπαινέω	to approve	--pna	330
parts and infs	6168047	ἀπολελαυκέναι	ἀπολαύω	to have enjoyment of	--rna	330
parts and infs	6168051	κεκτῆσθαι	κτάομαι	to procure for oneself	--rne	330
parts and infs	6168064	λέγων	λέγω	to pick; to say	-sppa	330
parts and infs	6168082	οἴεσθαι	οἴομαι	to suppose	--pne	330
parts and infs	6168083	τελευτήσειν	τελευτάω	to complete	--fna	330
parts and infs	6168099	λεγόμενοι	λέγω	to pick; to say	-pppe	330
parts and infs	6168109	ἀδικήσαντα	ἀδικέω	pharr23	-sapa	330
parts and infs	6168112	διδόναι	δίδωμι	to give	--pna	330
parts and infs	6168115	καταγελώμενοι	καταγελάω	to laugh at	-pppe	330
parts and infs	6168142	ὢν	εἰμί	pharr17	-sppa	330
parts and infs	6168170	εὑρίσκων	εὑρίσκω	to find	-sppa	331
parts and infs	6168187	ἐγειρόμενος	ἐγείρω	to awaken	-sppe	331
parts and infs	6168200	συνειδότι	σύνοιδα	to share in knowledge	-srpa	331
parts and infs	6168267	εἶναι	εἰμί	pharr17	--pna	331
parts and infs	6168284	ἐξαπατῆσαι	ἐξαπατάω	to deceive	--ana	331
parts and infs	6168286	ψεύσασθαι	ψεύδω	to cheat by lies	--anm	331
parts and infs	6168290	ὀφείλοντα	ὀφείλω	to owe	-sppa	331
parts and infs	6168300	ἀπιέναι	ἀπέρχομαι	to go away	--pna	331
parts and infs	6168301	δεδιότα	δείδω	to fear	-prpa	331
parts and infs	6168334	ἔχοντι	ἔχω	pharr10	-sppa	331
parts and infs	6168341	εἶναι	εἰμί	pharr17	--pna	331
parts and infs	6168366	εἶναι	εἰμί	pharr17	--pna	331
parts and infs	6168371	ἀποδιδόναι	ἀποδίδωμι	to give back	--pna	331
parts and infs	6168391	ποιεῖν	ποιέω	pharr23	--pna	331
parts and infs	6168408	σωφρονοῦντος	σωφρονέω	to be sound of mind	-sppa	331
parts and infs	6168412	μανεὶς	μαίνομαι	to rage	-sapp	331
parts and infs	6168420	ἀποδιδόναι	ἀποδίδωμι	to give back	--pna	331
parts and infs	6168427	ἀποδιδούς	ἀποδίδωμι	to give back	-sppa	331
parts and infs	6168434	ἔχοντα	ἔχω	pharr10	-sppa	331
parts and infs	6168436	ἐθέλων	ἐθέλω	pharr3	-sppa	331
parts and infs	6168439	λέγειν	λέγω	to pick; to say	--pna	331
parts and infs	6168456	λέγειν	λέγω	to pick; to say	--pna	331
parts and infs	6168462	ἀποδιδόναι	ἀποδίδωμι	to give back	--pna	331
parts and infs	6168473	ὑπολαβὼν	ὑπολαμβάνω	take up; understand	-sapa	331
