subj and opt	6166829	εἴη	εἰμί	pharr17	3spoa	327
subj and opt	6166946	δύναισθ’	δύναμαι	to be able	2ppoe	327
subj and opt	6167340	πυθοίμην	πυνθάνομαι	to learn by hearsay	1saom	328
subj and opt	6167791	εὐδοκιμοῖ	εὐδοκιμέω	to be of good repute	3spoa	330
subj and opt	6167835	ἐνέγκοι	φέρω	pharr30	3saoa	330
subj and opt	6167845	γένοιτο	γίγνομαι	pharr26	3saom	330
subj and opt	6168063	πείσαιμι	πείθω	pharr9	1saoa	330
subj and opt	6168328	θείην	τίθημι	to set	1saoa	331
subj and opt	6168400	εἴποι	λέγω	to pick; to say	3saoa	331
subj and opt	6168404	λάβοι	λαμβάνω	pharr21	3saoa	331
subj and opt	6168413	ἀπαιτοῖ	ἀπαιτέω	to demand back	3spoa	331
subj and opt	6168425	εἴη	εἰμί	pharr17	3spoa	331
subj and opt	6168660	ἀπαιτοῖ	ἀπαιτέω	to demand back	3spoa	332
subj and opt	6168813	εἴη	εἰμί	pharr17	3spoa	332
subj and opt	6168824	εἴη	εἰμί	pharr17	3spoa	332
subj and opt	6168922	καλοῖτο	καλέω	pharr23	3spoe	332
subj and opt	6169102	φαίης	φημί	to say	2spoa	333
subj and opt	6169121	φαίης	φημί	to say	2spoa	333
subj and opt	6169399	εἴη	εἰμί	pharr17	3spoa	333
subj and opt	6170395	εἶεν	εἰμί	pharr17	3ppoa	336
subj and opt	6170418	φαίη	φημί	to say	3spoa	336
subj and opt	6170783	ἐθελήσοις	ἐθέλω	pharr3	2sfoa	337
subj and opt	6170785	εἰρωνεύσοιο	εἰρωνεύομαι	to dissemble	2sfom	337
subj and opt	6170790	ποιήσοις	ποιέω	pharr23	2sfoa	337
subj and opt	6170792	ἀποκρινοῖο	ἀποκρίνω	to separate	2sfom	337
subj and opt	6170817	ἔροιο	ἔρομαι	to ask	2spoe	337
subj and opt	6170825	προείποις	προλέγω	pick before; foretell; proclaim	2saoa	337
subj and opt	6170869	ἀποκρινοῖτο	ἀποκρίνω	to separate	3sfom	337
subj and opt	6170921	εἶεν	εἰμί	pharr17	3ppoa	337
subj and opt	6170989	θαυμάσαιμι	θαυμάζω	to wonder	1saoa	337
subj and opt	6170999	δόξειεν	δοκέω	pharr23	3saoa	337
subj and opt	6171135	ἀποκρίναιτο	ἀποκρίνω	to separate	3saom	338
subj and opt	6171155	εἴη	εἰμί	pharr17	3spoa	338
subj and opt	6171229	εὐδοκιμήσειεν	εὐδοκιμέω	to be of good repute	3saoa	338
subj and opt	6171467	κακουργήσαις	κακουργέω	to do evil	2saoa	338
subj and opt	6171659	ἀποκρινοίμην	ἀποκρίνω	to separate	1spoe	339
subj and opt	6172106	εἴη	εἰμί	pharr17	3spoa	340
subj and opt	6172124	ἡγοῖτο	ἡγέομαι	pharr25	3spoe	340
subj and opt	6172374	εἴποι	λέγω	to pick; to say	3saoa	340
subj and opt	6172491	λάθοις	λανθάνω	to escape notice	2saoa	341
subj and opt	6172500	δύναιο	δύναμαι	to be able	2spoe	341
subj and opt	6172505	ἐπιχειρήσαιμι	ἐπιχειρέω	to attempt	1saoa	341
subj and opt	6172791	εἴποιμ’	λέγω	to pick; to say	1saoa	341
subj and opt	6173416	διατεθείη	διατίθημι	to place separately	3saop	343
subj and opt	6173554	εὕροις	εὑρίσκω	to find	2saoa	343
subj and opt	6173990	ζῴη	ζάω	to live	3spoa	344
subj and opt	6175084	γένοιτο	γίγνομαι	pharr26	3saom	347
subj and opt	6175126	ἕλοιτο	αἱρέω	pharr25	3saom	347
subj and opt	6175801	ἀξιοῖ	ἀξιόω	to think worthy of; to expect	3spoa	349
subj and opt	6175805	ἡγοῖτο	ἡγέομαι	pharr25	3spoe	349
subj and opt	6175812	ἡγοῖτο	ἡγέομαι	pharr25	3spoe	349
subj and opt	6175814	ἡγοῖτ’	ἡγέομαι	pharr25	3spoe	349
subj and opt	6175827	δύναιτο	δύναμαι	to be able	3spoe	349
subj and opt	6176032	εἶεν	εἰμί	pharr17	3ppoa	349
subj and opt	6176217	πλεονεκτήσειεν	πλεονεκτέω	to have or claim more than one’s share; to have an advantage	3saoa	350
subj and opt	6176356	εἴη	εἰμί	pharr17	3spoa	350
subj and opt	6176447	εἶεν	εἰμί	pharr17	3ppoa	350
subj and opt	6176495	λέγοιμι	λέγω	to pick; to say	1spoa	350
subj and opt	6176503	φαίης	φημί	to say	2spoa	350
subj and opt	6176621	εἴη	εἰμί	pharr17	3spoa	351
subj and opt	6176656	ἀγνοήσειεν	ἀγνοέω	not to perceive	3saoa	351
subj and opt	6176676	φαίης	φημί	to say	2spoa	351
subj and opt	6176850	ἀδικοῖεν	ἀδικέω	pharr23	3ppoa	351
subj and opt	6176864	ἀδικοῖεν	ἀδικέω	pharr23	3ppoa	351
subj and opt	6177420	ἴδοις	ὁράω	to see	2saoa	352
subj and opt	6177456	ἀποτέμοις	ἀποτέμνω	to cut off	2saoa	353
subj and opt	6177500	μάθοις	μανθάνω	to learn	2saoa	353
subj and opt	6177510	εἴη	εἰμί	pharr17	3spoa	353
subj and opt	6177538	εἶεν	εἰμί	pharr17	3ppoa	353
subj and opt	6177624	ἀπεργάσαιντο	ἀπεργάζομαι	to finish off	3paom	353
subj and opt	6177743	πράξαις	πράσσω	pharr32	2saoa	353
subj and opt	6177768	ἀποδοῖμεν	ἀποδέω	to bind fast	1ppoa	353
subj and opt	6177770	φαῖμεν	φημί	to say	1ppoa	353
subj and opt	6178189	ἑλοίμην	αἱρέω	pharr25	1saom	357
subj and opt	6178194	εἴη	εἰμί	pharr17	3spoa	357
subj and opt	6178218	δεξαίμεθ’	δέχομαι	pharr26	1paom	357
subj and opt	6178332	φαῖμεν	φημί	to say	1ppoa	357
subj and opt	6178346	δεξαίμεθα	δείκνυμι	to show	1paom	357
subj and opt	6178718	χαίροι	χαίρω	to rejoice	3spoa	358
subj and opt	6178939	αἰσθοίμεθα	αἰσθάνομαι	to perceive	1ppoe	359
subj and opt	6178943	ποιήσαιμεν	ποιέω	pharr23	1paoa	359
subj and opt	6178963	ἐπακολουθήσαιμεν	ἐπακολουθέω	to follow close upon	1paoa	359
subj and opt	6178974	λάβοιμεν	λαμβάνω	pharr21	1paoa	359
subj and opt	6179006	εἴη	εἰμί	pharr17	3spoa	359
subj and opt	6179018	γένοιτο	γίγνομαι	pharr26	3saom	359
subj and opt	6179121	ἐξαγγέλλοιεν	ἐξαγγέλλω	to send out	3paoa	359
